"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"29","UTTAR PRADESH","Sultanpur","Sultanpur","Wheat Atta","Wheat Atta","FAQ","2100","2270","2180","3/19/2021"
"30","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/18/2021"
"31","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/17/2021"
"32","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/16/2021"
"33","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/15/2021"
"34","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/13/2021"
"35","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/12/2021"
"36","UTTAR PRADESH","Sultanpur","Jafarganj","Wheat Atta","Wheat Atta","FAQ","2100","2150","2120","3/12/2021"
"37","UTTAR PRADESH","Sultanpur","Sultanpur","Wheat Atta","Wheat Atta","FAQ","2100","2300","2200","3/12/2021"
"38","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/10/2021"
"39","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/9/2021"
