slno,statename,districtname,marketname,commodity,variety,grade,minprice,maxprice,modalprice,pricedate
32,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2500,3000,2800,2021-03-08T18:30:00.000Z
33,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2000,2500,2200,2021-03-08T18:30:00.000Z
34,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2400,3000,2600,2021-03-07T18:30:00.000Z
35,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2000,2500,2200,2021-03-07T18:30:00.000Z
36,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3000,3200,3100,2021-03-05T18:30:00.000Z
37,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2000,2500,2200,2021-03-05T18:30:00.000Z
38,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3000,3200,3100,2021-03-04T18:30:00.000Z
21,KERELA,Alappuzha,Mannar,Amphophalus,Other,FAQ,1800,2100,2000,2021-04-11T18:30:00.000Z
22,KERELA,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,2200,2600,2400,2021-04-11T18:30:00.000Z
23,KERELA,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,3300,3500,3400,2021-04-11T18:30:00.000Z
24,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2400,3600,2800,2021-04-11T18:30:00.000Z
25,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1800,2000,1900,2021-04-10T18:30:00.000Z
26,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2500,2000,2021-04-09T18:30:00.000Z
27,KERELA,Kollam,Chathanoor,Amphophalus,Other,FAQ,1800,2200,2000,2021-04-09T18:30:00.000Z
28,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,1700,2000,1900,2021-04-09T18:30:00.000Z
29,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,2021-04-09T18:30:00.000Z
30,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,2000,2150,2100,2021-04-09T18:30:00.000Z
31,KERELA,Alappuzha,Madhavapuram,Amphophalus,Other,FAQ,3800,4200,4000,2021-04-09T18:30:00.000Z
32,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1400,1600,1500,2021-04-09T18:30:00.000Z
33,KERELA,Malappuram,Perinthalmanna,Amphophalus,Amphophalus,FAQ,1800,2200,2000,2021-04-09T18:30:00.000Z
34,KERELA,Ernakulam,Piravam,Amphophalus,Other,FAQ,2500,3000,2800,2021-04-09T18:30:00.000Z
35,KERELA,Thiruvananthapuram,Pothencode,Amphophalus,Other,FAQ,3500,3800,3600,2021-04-09T18:30:00.000Z
36,KERELA,Idukki,Adimali,Amphophalus,Amphophalus,FAQ,2800,2800,2800,2021-04-08T18:30:00.000Z
37,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,2021-04-08T18:30:00.000Z
38,KERELA,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,2000,2200,2100,2021-04-08T18:30:00.000Z
11,KERELA,Idukki,Kattappana,Amla(Nelli Kai),Other,FAQ,2500,3000,2600,2021-04-07T18:30:00.000Z
12,KERELA,Malappuram,Kondotty,Amla(Nelli Kai),Other,FAQ,4000,4200,4100,2021-04-07T18:30:00.000Z
13,KERELA,Malappuram,Kottakkal,Amla(Nelli Kai),Other,FAQ,4800,4900,4850,2021-04-07T18:30:00.000Z
14,KERELA,Idukki,Munnar,Amla(Nelli Kai),Other,FAQ,6000,6500,6500,2021-04-07T18:30:00.000Z
15,KERELA,Idukki,Nedumkandam,Amla(Nelli Kai),Other,FAQ,4000,4000,4000,2021-04-07T18:30:00.000Z
16,KERELA,Malappuram,Perinthalmanna,Amla(Nelli Kai),Amla,FAQ,4800,5200,5000,2021-04-07T18:30:00.000Z
17,MAHARASHTRA,Pune,Pune,Amla(Nelli Kai),Other,FAQ,2500,3000,2800,2021-04-07T18:30:00.000Z
18,KERELA,Idukki,Kattappana,Amla(Nelli Kai),Other,FAQ,2500,3000,2800,2021-04-06T18:30:00.000Z
19,KERELA,Malappuram,Kondotty,Amla(Nelli Kai),Other,FAQ,3900,4100,4000,2021-04-06T18:30:00.000Z
22,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,400,700,600,2021-03-28T18:30:00.000Z
23,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,400,800,700,2021-03-27T18:30:00.000Z
24,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,500,800,700,2021-03-26T18:30:00.000Z
28,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,300,700,600,2021-03-25T18:30:00.000Z
30,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,400,700,600,2021-03-24T18:30:00.000Z
32,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,400,700,600,2021-03-23T18:30:00.000Z
35,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,500,1000,900,2021-03-22T18:30:00.000Z
