Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
184,KERELA,Kollam,Chathanoor,Amphophalus,Other,FAQ,1800,2200,2000,3/31/2021
185,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,1900,2200,2000,3/31/2021
186,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,3/31/2021
187,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,3/31/2021
188,KERELA,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,2500,3000,2800,3/31/2021
189,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,3/31/2021
190,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,1750,1850,1800,3/31/2021
191,KERELA,Wayanad,Manathavady,Amphophalus,Other,FAQ,1100,1200,1200,3/31/2021
192,KERELA,Alappuzha,Mannar,Amphophalus,Other,FAQ,2000,2200,2100,3/31/2021
193,KERELA,Kasargod,Neeleswaram,Amphophalus,Other,FAQ,3400,3800,3600,3/31/2021
194,KERELA,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,2600,3000,2800,3/31/2021
195,KERELA,Thiruvananthapuram,Pothencode,Amphophalus,Other,FAQ,2000,2500,2300,3/31/2021
196,KERELA,Kozhikode(Calicut),Quilandy,Amphophalus,Other,FAQ,1800,2000,1800,3/31/2021
197,KERELA,Kozhikode(Calicut),Thamarassery,Amphophalus,Other,FAQ,1800,2300,1900,3/31/2021
198,KERELA,Idukki,Thodupuzha,Amphophalus,Other,FAQ,2000,2200,2200,3/31/2021
199,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2600,3600,3000,3/31/2021
200,KERELA,Idukki,Adimali,Amphophalus,Amphophalus,FAQ,4000,4000,4000,3/30/2021
201,KERELA,Alappuzha,Alappuzha,Amphophalus,Other,FAQ,2350,2450,2400,3/30/2021
202,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,3/30/2021
203,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2200,2000,3/30/2021
204,KERELA,Kollam,Chathanoor,Amphophalus,Other,FAQ,1800,2200,2000,3/30/2021
205,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,1900,2200,2000,3/30/2021
206,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,3/30/2021
207,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,3/30/2021
208,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1700,1900,1800,3/30/2021
209,KERELA,Kollam,Kollam,Amphophalus,Other,FAQ,2200,2500,2400,3/30/2021
210,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,3/30/2021
211,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,1750,1850,1800,3/30/2021
212,KERELA,Wayanad,Manathavady,Amphophalus,Other,FAQ,1100,1200,1200,3/30/2021
213,KERELA,Alappuzha,Mannar,Amphophalus,Other,FAQ,2000,2200,2100,3/30/2021
214,KERELA,Kasargod,Neeleswaram,Amphophalus,Other,FAQ,3400,3600,3500,3/30/2021
215,KERELA,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,3300,3500,3400,3/30/2021
216,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1500,1700,1600,3/30/2021
217,KERELA,Thirssur,Pariyaram,Amphophalus,Amphophalus,FAQ,1500,1900,1700,3/30/2021
218,KERELA,Ernakulam,Piravam,Amphophalus,Other,FAQ,2000,3000,2500,3/30/2021
219,KERELA,Kozhikode(Calicut),Quilandy,Amphophalus,Other,FAQ,1800,2000,1800,3/30/2021
220,KERELA,Kollam,Sasthamkotta,Amphophalus,Other,FAQ,2700,3300,3000,3/30/2021
221,KERELA,Idukki,Thodupuzha,Amphophalus,Other,FAQ,2000,2200,2200,3/30/2021
222,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2300,3600,2700,3/30/2021
223,KERELA,Idukki,Adimali,Amphophalus,Amphophalus,FAQ,2800,2800,2800,3/29/2021
224,KERELA,Alappuzha,Alappuzha,Amphophalus,Other,FAQ,2400,2500,2450,3/29/2021
225,KERELA,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,1400,1600,1500,3/29/2021
226,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2000,2300,2200,3/29/2021
227,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,3/29/2021
228,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,3/29/2021
229,KERELA,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,2500,3000,2800,3/29/2021
230,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1900,2100,2000,3/29/2021
231,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,3/29/2021
232,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,1750,1850,1800,3/29/2021
233,KERELA,Wayanad,Manathavady,Amphophalus,Other,FAQ,1200,1250,1250,3/29/2021
234,KERELA,Alappuzha,Mannar,Amphophalus,Other,FAQ,2000,2200,2100,3/29/2021
235,KERELA,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,2200,2600,2400,3/29/2021
236,KERELA,Kasargod,Neeleswaram,Amphophalus,Other,FAQ,4600,5000,4800,3/29/2021
237,KERELA,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,2600,3000,2800,3/29/2021
238,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1400,1600,1500,3/29/2021
239,KERELA,Thirssur,Pariyaram,Amphophalus,Amphophalus,FAQ,1500,1900,1700,3/29/2021
